
*************************************************************************************************
2014.04.23 00:00:04 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:00:09 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:00:14 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:00:19 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:00:24 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:00:29 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:00:34 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:00:39 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:00:44 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:00:49 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:00:54 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:00:59 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:01:04 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:01:09 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:01:14 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:01:19 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:01:24 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:01:29 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:01:34 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:01:39 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:01:44 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:01:49 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:01:54 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:01:59 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:02:04 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:02:09 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:02:14 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:02:19 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:02:24 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:02:29 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:02:34 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
2014.04.23 00:02:39 ||| Not Available ||| Not Available ||| Not Available ||| 

*************************************************************************************************
